Country,Country Code,Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Greece,300,Europe - Southern,10887640,10829074,10781119,10740501,10701460,10659737,10615183,10569449,10522244,10473452,10423056
Greenland,304,America - Northern,56638,56555,56477,56412,56383,56378,56408,56473,56565,56660,56772
Grenada,308,America - Caribbean,106227,106786,107452,108172,108900,109603,110263,110874,111449,112002,112519
Guadeloupe,312,America - Caribbean,406073,405643,404446,402826,401305,400260,399760,399679,399848,400048,400127
Guam,316,Oceania - Micronesia,159439,159690,159990,160415,161007,161851,162948,164281,165770,167295,168783
Guatemala,320,America - Central,14630420,14948792,15270774,15595821,15923238,16252425,16583079,16914979,17247855,17581476,17915567
Guinea,324,Africa - Western,10192168,10420459,10652032,10892821,11150970,11432096,11738434,12067516,12414292,12771246,13132792
Guinea-Bissau,624,Africa - Western,1522603,1562996,1604981,1648259,1692433,1737207,1782434,1828146,1874304,1920917,1967998
Guyana,328,America - South,749430,752029,755388,759281,763371,767433,771363,775218,779007,782775,786559
Haiti,332,America - Caribbean,9949318,10100320,10250922,10400672,10549007,10695540,10839976,10982367,11123183,11263079,11402533
Holy See,336,Europe - Southern,783,786,786,786,785,790,791,798,810,815,809
Honduras,340,America - Central,8317467,8480670,8640692,8798524,8955579,9112904,9270794,9429016,9587523,9746115,9904608
Hungary,348,Europe - Eastern,9927380,9895689,9864363,9833923,9804991,9777925,9752970,9729822,9707502,9684680,9660350
Iceland,352,Europe - Northern,320342,323471,325642,327194,328592,330237,332209,334395,336712,339037,341250
India,356,Asia - Southern,1234281163,1250287939,1265780243,1280842119,1295600768,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385
Indonesia,360,Asia - SouthEastern,241834226,245115988,248451714,251805314,255128076,258383257,261556386,264650969,267670549,270625567,273523621
Iran (Islamic Republic of),364,Asia - Southern,73762519,74634959,75539881,76481963,77465769,78492208,79563991,80673888,81800204,82913893,83992953
Iraq,368,Asia - Western,29741977,30725305,31890012,33157061,34411949,35572269,36610632,37552789,38433604,39309789,40222503
Ireland,372,Europe - Northern,4554330,4591115,4608199,4615426,4626852,4652420,4695790,4753281,4818694,4882498,4937796
Isle of Man,833,Europe - Northern,84856,84889,84534,83985,83488,83232,83296,83610,84073,84589,85032
Israel,376,Asia - Western,7346446,7487095,7614946,7734834,7854216,7978496,8108984,8243849,8381507,8519373,8655541
