Country,Country Code,Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Italy,380,Europe - Southern,59325232,59589070,59879469,60166828,60409622,60578489,60663068,60673694,60627291,60550092,60461828
Jamaica,388,America - Caribbean,2810464,2825932,2842128,2858710,2875137,2891024,2906242,2920848,2934853,2948277,2961161
Japan,392,Asia - Eastern,128542349,128498966,128423571,128314189,128168630,127985139,127763267,127502728,127202190,126860299,126476458
Jordan,400,Asia - Western,7261541,7662858,8089963,8518992,8918822,9266573,9554286,9785840,9965322,10101697,10203140
Kazakhstan,398,Asia - Central,16252273,16490669,16751523,17026118,17302619,17572010,17830902,18080023,18319616,18551428,18776707
Kenya,404,Africa - Eastern,42030684,43178270,44343469,45519986,46700063,47878339,49051531,50221146,51392570,52573967,53771300
Kiribati,296,Oceania - Micronesia,102930,104735,106359,107887,109387,110927,112529,114153,115842,117608,119446
Kuwait,414,Asia - Western,2991884,3168054,3348852,3526382,3690939,3835588,3956862,4056102,4137314,4207077,4270563
Kyrgyzstan,417,Asia - Central,5422298,5517927,5621583,5731312,5844521,5959126,6074327,6189727,6304025,6415851,6524191
Lao People's Democratic Republic,418,Asia - SouthEastern,6249168,6347564,6444527,6541302,6639763,6741160,6845848,6953031,7061498,7169456,7275556
Latvia,428,Europe - Northern,2118855,2093606,2069018,2044950,2021220,1997675,1974265,1951097,1928461,1906740,1886202
Lebanon,422,Asia - Western,4953064,5202022,5537620,5913016,6261046,6532681,6714281,6819373,6859408,6855709,6825442
Lesotho,426,Africa - Southern,1995575,2003793,2014988,2028528,2043448,2059011,2075041,2091532,2108327,2125267,2142252
Liberia,430,Africa - Western,3891357,4017446,4135662,4248337,4359508,4472229,4586788,4702224,4818976,4937374,5057677
Libya,434,Africa - Northern,6197667,6247438,6285751,6320350,6362039,6418315,6492160,6580723,6678565,6777453,6871287
Liechtenstein,438,Europe - Western,35996,36299,36615,36940,37219,37465,37655,37805,37918,38020,38137
Lithuania,440,Europe - Northern,3123825,3083402,3045561,3008938,2971498,2931872,2889555,2845419,2801270,2759631,2722291
Luxembourg,442,Europe - Western,507890,519312,530855,542554,554512,566741,579266,591914,604244,615730,625976
Madagascar,450,Africa - Eastern,21151640,21743970,22346641,22961259,23589897,24234080,24894370,25570511,26262313,26969306,27691019
Malawi,454,Africa - Eastern,14539609,14962118,15396010,15839287,16289550,16745305,17205253,17670193,18143215,18628749,19129955
Malaysia,458,Asia - SouthEastern,28208028,28650962,29068189,29468923,29866606,30270965,30684652,31104655,31528033,31949789,32365998
Maldives,462,Asia - Southern,365730,380493,397231,415592,435018,454914,475505,496398,515704,530957,540542
Mali,466,Africa - Western,15049352,15514593,15979492,16449854,16934213,17438772,17965448,18512429,19077755,19658023,20250834
Malta,470,Europe - Southern,414257,417720,421809,426144,430190,433559,436099,437935,439255,440377,441539
Marshall Islands,584,Oceania - Micronesia,56361,56524,56712,56933,57183,57444,57723,58053,58412,58791,59194
Martinique,474,America - Caribbean,394666,391886,388366,384581,381142,378483,376789,375946,375672,375557,375265
Mauritania,478,Africa - Western,3494200,3598646,3706555,3817497,3930894,4046304,4163532,4282582,4403312,4525698,4649660
Mauritius,480,Africa - Eastern,1247953,1251074,1253489,1255458,1257351,1259457,1261870,1264497,1267184,1269670,1271767
Mayotte,175,Africa - Eastern,208716,214937,221147,227376,233658,240011,246460,252962,259526,266153,272813
Mexico,484,America - Central,114092961,115695468,117274156,118827158,120355137,121858251,123333379,124777326,126190782,127575529,128932753
Micronesia (Fed. States of),583,Oceania - Micronesia,102916,103448,104506,105922,107444,108886,110215,111461,112640,113811,115021
Monaco,492,Europe - Western,35609,36025,36459,36899,37320,37723,38070,38392,38682,38967,39244
Mongolia,496,Asia - Eastern,2719902,2770357,2824698,2881783,2940111,2998433,3056358,3113788,3170214,3225166,3278292
Montenegro,499,Europe - Southern,624279,625271,625931,626342,626650,626957,627271,627563,627803,627988,628062
Montserrat,500,America - Caribbean,4895,4913,4930,4932,4952,4966,4978,4989,4993,4991,4999
Morocco,504,Africa - Northern,32343384,32781860,33241898,33715705,34192358,34663608,35126274,35581257,36029089,36471766,36910558
Mozambique,508,Africa - Eastern,23531567,24187500,24862673,25560752,26286192,27042001,27829930,28649007,29496009,30366043,31255435
Myanmar,104,Asia - SouthEastern,50600827,50990612,51413703,51852464,52280816,52680724,53045199,53382521,53708318,54045422,54409794
Namibia,516,Africa - Southern,2118877,2156698,2194777,2233506,2273426,2314901,2358044,2402623,2448300,2494524,2540916
Nauru,520,Oceania - Micronesia,10009,10069,10136,10208,10289,10374,10474,10577,10678,10764,10834
Nepal,524,Asia - Southern,27013207,27041220,26989160,26916795,26905982,27015033,27263430,27632682,28095712,28608715,29136808
Netherlands,528,Europe - Western,16682927,16738191,16791850,16843512,16892517,16938492,16981285,17021343,17059560,17097123,17134873
New Caledonia,540,Oceania - Melanesia,253529,257066,260657,264239,267732,271062,274190,277159,279986,282757,285491
New Zealand,554,Oceania - AusNZ,4370060,4418674,4468462,4518519,4567522,4614527,4659265,4702029,4743131,4783062,4822233
Nicaragua,558,America - Central,5824058,5903035,5982530,6062462,6142734,6223234,6303970,6384843,6465502,6545503,6624554
Niger,562,Africa - Western,16464025,17114770,17795209,18504287,19240182,20001663,20788789,21602388,22442831,23310719,24206636
Nigeria,566,Africa - Western,158503203,162805080,167228803,171765819,176404931,181137454,185960244,190873247,195874685,200963603,206139587
Niue,570,Oceania - Polynesia,1622,1618,1606,1606,1607,1610,1611,1612,1610,1614,1618
North Macedonia,807,Europe - Southern,2070737,2072484,2074275,2076065,2077780,2079335,2080746,2081996,2082957,2083458,2083380
Northern Mariana Islands,580,Oceania - Micronesia,53971,54013,54306,54786,55301,55779,56187,56553,56889,57213,57557
Norway,578,Europe - Northern,4885878,4948335,5013716,5079460,5142269,5199827,5250950,5296324,5337960,5378859,5421242
Oman,512,Asia - Western,3041435,3251102,3498031,3764805,4027255,4267341,4479217,4665926,4829476,4974992,5106622
Pakistan,586,Asia - Southern,179424643,183340168,187280125,191260799,195305012,199426953,203631356,207906210,212228288,216565317,220892331
Palau,585,Oceania - Micronesia,17954,17748,17635,17603,17625,17665,17718,17809,17911,18001,18092
Panama,591,America - Central,3642691,3706479,3770635,3835447,3901311,3968490,4037073,4106764,4176868,4246440,4314768
Papua New Guinea,598,Oceania - Melanesia,7310512,7472196,7631003,7788388,7946733,8107772,8271766,8438038,8606324,8776119,8947027
Paraguay,600,America - South,6248017,6333981,6421510,6510273,6599524,6688746,6777878,6867058,6956069,7044639,7132530
Peru,604,America - South,29027680,29264314,29506790,29773986,30090372,30470739,30926036,31444299,31989265,32510462,32971846
Philippines,608,Asia - SouthEastern,93966784,95570049,97212639,98871558,100513137,102113206,103663812,105172921,106651394,108116622,109581085
Poland,616,Europe - Eastern,38329784,38286824,38227033,38158043,38091095,38034076,37989218,37953176,37921585,37887771,37846605
Portugal,620,Europe - Southern,10596055,10569388,10526308,10473025,10418224,10368346,10325540,10288527,10256192,10226178,10196707
Puerto Rico,630,America - Caribbean,3579842,3559862,3536570,3503865,3453667,3381512,3283121,3163676,3039598,2933404,2860840
Qatar,634,Asia - Western,1856329,2035862,2196078,2336579,2459202,2565708,2654379,2724727,2781682,2832071,2881060
Republic of Korea,410,Asia - Eastern,49545638,49786153,50060639,50345720,50607904,50823087,50983446,51096408,51171700,51225321,51269183
Republic of Moldova,498,Europe - Eastern,4086090,4079167,4075804,4074585,4073407,4070705,4066013,4059687,4051950,4043258,4033963
R̩union,638,Africa - Eastern,830507,837336,843984,850506,856960,863359,869742,876131,882531,888932,895308
Romania,642,Europe - Eastern,20471860,20336718,20227467,20132780,20035928,19925182,19796280,19653966,19506110,19364558,19237682
Russian Federation,643,Europe - Eastern,143479273,143703027,143993888,144325456,144664837,144985059,145275374,145530091,145734034,145872260,145934460
Rwanda,646,Africa - Eastern,10039338,10293333,10549668,10811538,11083629,11369066,11668829,11980960,12301969,12626938,12952209
Saint Barth̩lemy,652,America - Caribbean,9234,9340,9446,9548,9620,9696,9745,9788,9824,9853,9885
Saint Helena,654,Africa - Western,5183,5281,5416,5583,5737,5869,5958,6008,6039,6061,6071
Saint Kitts and Nevis,659,America - Caribbean,49011,49442,49881,50328,50776,51204,51629,52036,52438,52834,53192
Saint Lucia,662,America - Caribbean,174092,175538,176654,177505,178307,179131,180028,180955,181890,182795,183629
Saint Martin (French part),663,America - Caribbean,37582,37451,37012,36458,36018,35865,36061,36569,37264,38002,38659
Saint Pierre and Miquelon,666,America - Northern,6361,6323,6251,6168,6073,5992,5933,5885,5845,5821,5795
Saint Vincent and the Grenadines,670,America - Caribbean,108260,108315,108435,108624,108868,109135,109467,109826,110210,110593,110947
Samoa,882,Oceania - Polynesia,185944,187469,189089,190712,192220,193510,194540,195358,196128,197093,198410
San Marino,674,Europe - Southern,31221,31655,32103,32554,32941,33270,33503,33671,33784,33864,33938
Sao Tome and Principe,678,Africa - Middle,180372,184521,188394,192076,195727,199439,203221,207086,211032,215048,219161
Saudi Arabia,682,Asia - Western,27421468,28267591,29154906,30052058,30916603,31717676,32443443,33101183,33702757,34268529,34813867
Senegal,686,Africa - Western,12678143,13033814,13401990,13782429,14174740,14578450,14993514,15419354,15854324,16296362,16743930
Serbia,688,Europe - Southern,8991258,8963761,8940116,8918892,8898284,8876777,8853963,8829623,8802741,8772228,8737370
Seychelles,690,Africa - Eastern,91273,91882,92608,93397,94214,94981,95711,96418,97094,97741,98340
Sierra Leone,694,Africa - Western,6415636,6563238,6712586,6863975,7017153,7171909,7328846,7488427,7650149,7813207,7976985
Singapore,702,Asia - SouthEastern,5131170,5263640,5369469,5453732,5525628,5592143,5653625,5708042,5757503,5804343,5850343
Sint Maarten (Dutch part),534,America - Caribbean,34166,35050,36238,37580,38872,39967,40812,41444,41936,42389,42882
Slovakia,703,Europe - Eastern,5404293,5408932,5414894,5421721,5428798,5435614,5442001,5447903,5453017,5457012,5459643
Slovenia,705,Europe - Southern,2043336,2051278,2057826,2063120,2067488,2071199,2074205,2076395,2077836,2078654,2078932
Solomon Islands,90,Oceania - Melanesia,527861,541522,556066,571329,587079,603133,619438,636030,652856,669821,686878
Somalia,706,Africa - Eastern,12043886,12376305,12715487,13063711,13423571,13797204,14185635,14589165,15008225,15442906,15893219
South Africa,710,Africa - Southern,51216967,52003759,52832659,53687125,54544184,55386369,56207649,57009751,57792520,58558267,59308690
South Sudan,728,Africa - Eastern,9508372,9830695,10113648,10355030,10554882,10715657,10832520,10910774,10975924,11062114,11193729
Spain,724,Europe - Southern,46931011,47084242,47063059,46930554,46777927,46671919,46634131,46647425,46692863,46736782,46754783
Sri Lanka,144,Asia - Southern,20261738,20398496,20532599,20663053,20788512,20908024,21021177,21128028,21228760,21323734,21413250
State of Palestine,275,Asia - Western,4055632,4149654,4241572,4333521,4428634,4529160,4635644,4747233,4862978,4981422,5101416
Sudan,729,Africa - Northern,34545014,35349676,36193781,37072555,37977657,38902948,39847433,40813398,41801532,42813237,43849269
Suriname,740,America - South,529126,535177,541247,547295,553278,559136,564883,570501,575987,581363,586634
Sweden,752,Europe - Northern,9390157,9466705,9542817,9618016,9692137,9764949,9836003,9904895,9971630,10036391,10099270
Switzerland,756,Europe - Western,7808674,7906988,8008006,8108876,8206003,8296775,8379915,8455797,8525614,8591361,8654618
Syrian Arab Republic,760,Asia - Western,21362541,21081814,20438861,19578466,18710711,17997411,17465567,17095669,16945062,17070132,17500657
Tajikistan,762,Asia - Central,7527397,7697507,7874838,8059782,8252828,8454019,8663575,8880270,9100847,9321023,9537642
Thailand,764,Asia - SouthEastern,67195032,67518379,67835969,68144519,68438748,68714519,68971313,69209817,69428454,69625581,69799978
Timor-Leste,626,Asia - SouthEastern,1093517,1113154,1133002,1153288,1174333,1196294,1219289,1243260,1267975,1293120,1318442
Togo,768,Africa - Western,6421674,6595939,6773807,6954721,7137997,7323162,7509952,7698476,7889095,8082359,8278737
Tokelau,772,Oceania - Polynesia,1129,1138,1163,1191,1217,1247,1276,1297,1318,1330,1350
Tonga,776,Oceania - Polynesia,103981,103558,102736,101768,101023,100780,101143,102002,103199,104497,105697
Trinidad and Tobago,780,America - Caribbean,1328144,1336180,1344814,1353708,1362337,1370332,1377563,1384060,1389841,1394969,1399491
Tunisia,788,Africa - Northern,10635245,10741872,10846993,10952949,11063195,11179951,11303942,11433438,11565203,11694721,11818618
Turkey,792,Asia - Western,72326992,73443254,74651046,75925454,77229262,78529413,79827868,81116451,82340090,83429607,84339067
Turkmenistan,795,Asia - Central,5087211,5174076,5267906,5366376,5466324,5565283,5662371,5757667,5850902,5942094,6031187
Turks and Caicos Islands,796,America - Caribbean,32658,33371,34067,34733,35371,35979,36558,37116,37667,38194,38718
Tuvalu,798,Oceania - Polynesia,10521,10626,10744,10849,10973,11099,11232,11365,11505,11655,11792
Uganda,800,Africa - Eastern,32428164,33476772,34558700,35694519,36911530,38225447,39649173,41166588,42729032,44269587,45741000
Ukraine,804,Europe - Eastern,45792086,45619850,45453805,45286988,45111530,44921636,44713708,44487708,44246158,43993643,43733759
United Arab Emirates,784,Asia - Western,8549998,8946778,9141598,9197908,9214182,9262896,9360975,9487206,9630966,9770526,9890400
United Kingdom,826,Europe - Northern,63459801,64021922,64525300,64984015,65423048,65860149,66297944,66727463,67141678,67530161,67886004
United Republic of Tanzania,834,Africa - Eastern,44346532,45673520,47053033,48483132,49960563,51482638,53049231,54660345,56313444,58005461,59734213
United States of America,840,America - Northern,309011469,311584051,314043885,316400539,318673422,320878312,323015992,325084758,327096263,329064917,331002647
United States Virgin Islands,850,America - Caribbean,106086,105794,105524,105304,105107,104950,104829,104745,104672,104579,104423
Uruguay,858,America - South,3359273,3368926,3378975,3389436,3400439,3412013,3424139,3436645,3449290,3461731,3473727
Uzbekistan,860,Asia - Central,28515908,28977006,29449415,29932630,30426394,30929556,31441753,31959774,32476232,32981715,33469199
Vanuatu,548,Oceania - Melanesia,236216,242658,249505,256637,263888,271128,278326,285499,292675,299882,307150
Venezuela (Bolivarian Republic of),862,America - South,28439942,28887873,29360827,29781046,30042973,30081827,29851249,29402480,28887117,28515829,28435943
Viet Nam,704,Asia - SouthEastern,87967655,88871384,89801926,90752593,91713850,92677082,93640435,94600643,95545959,96462108,97338583
Wallis and Futuna Islands,876,Oceania - Polynesia,12686,12463,12369,12353,12338,12262,12098,11894,11653,11436,11246
Western Sahara,732,Africa - Northern,480268,487654,495773,504858,514984,526211,538744,552617,567396,582458,597330
Yemen,887,Asia - Western,23154854,23807586,24473176,25147112,25823488,26497881,27168210,27834811,28498683,29161922,29825968
Zambia,894,Africa - Eastern,13605986,14023199,14465148,14926551,15399793,15879370,16363449,16853608,17351714,17861034,18383956
Zimbabwe,716,Africa - Eastern,12697728,12894323,13115149,13350378,13586710,13814642,14030338,14236599,14438812,14645473,14862927
