Country,Country Code,Region,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bulgaria,100,Europe - Eastern,7250996,7310533,7372016,7434686,7497950,7561487,7625194,7689135,7753612,7819004,7885607,7953472,8022157,8090703,8157834,8222588,8284449,8343494,8400012,8454584,8507541,8559035,8608660,8655707,8699174,8738386,8772556,8801899,8828030,8853207,8878787,8905097,8930708,8953122,8968909,8975353,8972555,8960554,8936652,8897541,8841466,8767000,8676379,8576042,8474822,8379305,8291970,8211804,8137669,8067005,7997951,7930700,7866242,7804306,7744630,7686964,7631020,7576675,7524084,7473509,7425011,7378652,7334007,7290092,7245648,7199739,7151948,7102452,7051610,7000117,6948445
Burkina Faso,854,Africa - Western,4284455,4324493,4367137,4413202,4463165,4517155,4574945,4635951,4699345,4764085,4829289,4894580,4960328,5027811,5098891,5174874,5256360,5343025,5434046,5528172,5624592,5723378,5825174,5930493,6040045,6154554,6274032,6398933,6530820,6671656,6822837,6985166,7158259,7340910,7531239,7727908,7930689,8140080,8356313,8579818,8811033,9050086,9297110,9552473,9816584,10089880,10372734,10665552,10968722,11282696,11607951,11944589,12293097,12654624,13030576,13421935,13829173,14252029,14689725,15141098,15605211,16081915,16571252,17072791,17586029,18110616,18646350,19193236,19751466,20321383,20903278
Burundi,108,Africa - Eastern,2308927,2360442,2406034,2449089,2492192,2537150,2584913,2635622,2688751,2743202,2797925,2852438,2907320,2964416,3026292,3094378,3170496,3253215,3336930,3413909,3479070,3530000,3569655,3605120,3646428,3700879,3770870,3854446,3949264,4051239,4157296,4266520,4379727,4497544,4621096,4750832,4886745,5027143,5168703,5307069,5438959,5564923,5685569,5798054,5898964,5987044,6060110,6122130,6185564,6267132,6378871,6525546,6704118,6909161,7131688,7364857,7607850,7862226,8126104,8397661,8675606,8958406,9245992,9540302,9844301,10160034,10488002,10827010,11175379,11530577,11890781
Cabo Verde,132,Africa - Western,178064,186083,191447,194722,196462,197193,197417,197593,198129,199434,201770,205321,210141,216087,222949,230421,238655,247522,256169,263461,268633,271315,271841,271068,270228,270240,271345,273335,276182,279729,283848,288678,294244,300226,306140,311668,316613,321137,325744,331180,337953,346229,355763,366057,376409,386288,395533,404248,412513,420456,428178,435701,442955,449925,456619,463034,469171,475067,480846,486667,492644,498858,505241,511740,518276,524740,531140,537499,543764,549936,555988
Cambodia,116,Asia - SouthEastern,4432724,4537664,4656427,4783200,4913749,5045283,5176644,5308126,5441323,5578695,5722372,5872968,6028434,6183586,6331443,6467191,6585034,6685961,6779778,6880623,6996576,7139640,7302114,7449233,7533332,7524457,7404687,7196042,6957267,6770393,6693759,6749849,6919803,7170004,7447844,7714894,7960952,8198082,8435909,8691331,8975597,9289298,9623899,9970727,10317901,10656145,10982919,11298594,11600510,11886464,12155241,12405411,12637719,12856171,13066475,13273355,13477705,13679953,13883835,14093605,14312205,14541421,14780454,15026330,15274506,15521435,15766290,16009413,16249795,16486542,16718971
Cameroon,120,Africa - Middle,4307021,4383964,4462133,4541788,4623280,4707000,4793394,4883012,4976413,5074196,5176920,5285015,5398730,5518104,5643039,5773538,5909874,6052419,6201410,6357096,6519754,6689659,6867170,7052847,7247284,7451057,7664398,7887571,8121081,8365560,8621409,8888534,9166813,9456496,9757849,10070806,10395481,10731058,11075423,11425807,11780086,12137912,12499499,12864091,13230978,13599984,13970812,14344444,14723772,15112598,15513944,15928910,16357605,16800869,17259322,17733408,18223677,18730283,19252674,19789922,20341236,20906392,21485267,22077300,22681853,23298376,23926549,24566070,25216261,25876387,26545864
Canada,124,America - Northern,13733398,14078449,14445453,14834905,15245416,15673764,16114734,16561263,17004835,17436204,17847404,18233965,18596848,18943237,19284228,19627973,19975695,20324786,20674999,21025257,21374326,21723465,22072193,22415313,22745896,23059266,23354587,23634377,23901716,24161133,24416885,24668159,24916538,25171436,25444886,25744807,26075504,26432894,26806125,27179497,27541323,27888813,28224410,28547964,28860734,29164153,29457820,29742378,30022078,30302511,30588379,30880072,31178260,31488046,31815490,32164313,32536994,32930795,33337638,33746093,34147566,34539156,34922031,35296535,35664338,36026668,36382942,36732091,37074558,37411038,37742157
Cayman Islands,136,America - Caribbean,6416,6271,6247,6318,6458,6668,6912,7177,7427,7659,7870,8024,8141,8219,8299,8370,8444,8518,8638,8833,9143,9588,10135,10778,11488,12234,13023,13848,14681,15485,16207,16857,17436,18005,18662,19460,20426,21539,22775,24028,25307,26540,27784,29068,30521,32161,34065,36155,38330,40423,42305,43934,45347,46624,47899,49261,50729,52280,53835,55321,56672,57877,58963,59933,60848,61721,62564,63382,64172,64948,65720
Central African Republic,140,Africa - Middle,1326660,1341722,1356120,1370516,1385454,1401337,1418483,1437062,1457120,1478677,1501668,1526057,1551908,1579375,1608618,1639706,1673019,1708306,1744198,1778870,1811157,1840517,1867786,1894850,1924386,1958367,1997017,2039914,2087662,2140778,2199359,2264441,2335339,2408322,2478382,2542170,2597765,2646836,2693974,2745735,2806740,2878507,2959236,3046148,3135017,3222662,3308235,3392432,3475485,3558019,3640421,3722016,3802129,3881185,3959883,4038380,4118075,4198004,4273368,4337623,4386765,4418639,4436411,4447945,4464171,4493171,4537683,4596023,4666375,4745179,4829764
Chad,148,Africa - Middle,2502321,2543879,2588874,2636247,2685188,2735205,2786048,2837770,2890636,2945100,3001604,3060365,3121226,3183576,3246527,3309583,3372182,3434817,3499370,3568402,3643608,3726189,3815253,3907891,3999918,4088568,4173131,4255242,4337292,4422743,4514427,4612858,4718157,4832316,4957561,5095400,5247281,5412844,5589624,5773930,5963250,6157085,6356741,6563925,6781057,7010159,7250974,7503494,7770053,8053532,8355654,8678049,9019226,9373913,9734761,10096630,10457122,10818031,11183589,11560142,11952134,12360986,12784748,13220433,13663562,14110971,14561658,15016761,15477727,15946882,16425859
