Country,Country Code,Region,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Guinea,324,Africa - Western,3012938,3054000,3095613,3138452,3183009,3229643,3278495,3329562,3382714,3437667,3494164,3552068,3611428,3672560,3735912,3801711,3870204,3941046,4013050,4084601,4154606,4223056,4290544,4357357,4424030,4491248,4559239,4628881,4702371,4782491,4871446,4969595,5077073,5195443,5326369,5470716,5629420,5801323,5982484,6167480,6352282,6534936,6716032,6897171,7081119,7269631,7463782,7662071,7860772,8054745,8240735,8417082,8586077,8753097,8925729,9109585,9307421,9518159,9738796,9964470,10192168,10420459,10652032,10892821,11150970,11432096,11738434,12067516,12414292,12771246,13132792
Guinea-Bissau,624,Africa - Western,535438,544412,552569,560362,568163,576131,584335,592669,600925,608835,616140,622754,628877,635008,641821,649795,658998,669243,680431,692407,704937,718359,732516,746178,757668,765985,770415,771732,772137,774726,781678,793804,810402,830212,851276,872163,892530,912755,933046,953782,975265,997522,1020353,1043421,1066345,1088850,1110835,1132505,1154372,1177133,1201305,1227105,1254454,1283297,1313492,1344931,1377582,1411545,1446936,1483920,1522603,1562996,1604981,1648259,1692433,1737207,1782434,1828146,1874304,1920917,1967998
Guyana,328,America - South,406559,418680,432815,448462,465165,482562,500315,518251,536220,554094,571813,589274,606286,622580,637835,651865,664518,675861,686144,695743,704930,713684,721949,729909,737846,745847,754101,762424,770128,776257,780153,781734,781249,778953,775217,770439,764447,757451,750641,745581,743306,744477,748596,754141,758896,761298,760801,757975,753778,749676,746718,745206,744789,745142,745737,746156,746335,746477,746815,747718,749430,752029,755388,759281,763371,767433,771363,775218,779007,782775,786559
Haiti,332,America - Caribbean,3221270,3274410,3330331,3388959,3450248,3514069,3580312,3648819,3719427,3791934,3866162,3941956,4019171,4097755,4177631,4258734,4341325,4425318,4509811,4593666,4676237,4757175,4837334,4918625,5003708,5094570,5191637,5294625,5404020,5520187,5643175,5773367,5910223,6051617,6194686,6337275,6478537,6618742,6758222,6897755,7037915,7178611,7319491,7460684,7602318,7744509,7887312,8030721,8174680,8319070,8463802,8608810,8754148,8900108,9047082,9195289,9344784,9495336,9646570,9798046,9949318,10100320,10250922,10400672,10549007,10695540,10839976,10982367,11123183,11263079,11402533
Holy See,336,Europe - Southern,906,883,883,890,899,900,909,908,905,905,904,904,901,898,877,853,814,766,711,670,649,645,661,685,708,724,730,730,725,722,725,723,725,730,733,740,747,751,754,759,762,762,773,780,777,778,784,787,786,788,790,792,792,792,795,798,795,794,792,787,783,786,786,786,785,790,791,798,810,815,809
Honduras,340,America - Central,1546719,1588561,1631731,1676508,1723013,1771357,1821542,1873493,1927101,1982194,2038636,2096407,2155648,2216712,2280044,2346005,2414805,2486418,2560723,2637515,2716652,2798125,2882102,2968978,3059245,3153252,3251145,3352825,3458102,3566661,3678274,3792922,3910642,4031333,4154864,4281167,4410270,4542218,4677023,4814696,4955302,5098594,5244677,5394416,5548969,5709010,5874814,6045704,6220405,6397140,6574510,6751912,6929267,7106323,7282953,7458982,7634295,7808520,7980955,8150780,8317467,8480670,8640692,8798524,8955579,9112904,9270794,9429016,9587523,9746115,9904608
Hungary,348,Europe - Eastern,9337718,9480607,9597942,9692902,9768679,9828498,9875596,9913251,9944702,9973056,10000989,10030477,10062510,10096975,10132978,10169802,10208225,10248705,10289769,10329352,10366099,10398163,10426085,10453660,10486191,10526777,10577942,10636567,10693327,10735499,10754286,10746489,10715857,10669203,10616742,10566321,10519296,10474544,10434539,10401614,10377135,10363050,10358622,10359052,10357586,10349308,10332451,10308479,10279610,10249407,10220509,10193451,10167286,10141341,10114481,10085942,10055657,10024158,9991867,9959439,9927380,9895689,9864363,9833923,9804991,9777925,9752970,9729822,9707502,9684680,9660350
Iceland,352,Europe - Northern,142657,144942,147713,150813,154163,157641,161198,164786,168396,171992,175584,179183,182711,186130,189345,192315,194991,197405,199669,201971,204423,207095,209928,212803,215568,218079,220276,222267,224146,226104,228256,230665,233273,236021,238818,241587,244335,247057,249755,252424,255044,257616,260155,262650,265140,267627,270144,272709,275294,277868,280439,282910,285329,287955,291102,294976,299727,305181,310855,316057,320342,323471,325642,327194,328592,330237,332209,334395,336712,339037,341250
India,356,Asia - Southern,376325200,382376945,388799076,395544365,402578594,409880606,417442811,425270709,433380978,441798571,450547675,459642166,469077191,478825602,488848139,499123328,509631509,520400577,531513834,543084333,555189797,567868021,581087255,594770136,608802595,623102900,637630085,652408766,667499815,682995348,698952837,715384997,732239498,749428958,766833411,784360012,801975250,819682095,837468938,855334675,873277799,891273202,909307018,927403866,945601828,963922586,982365248,1000900028,1019483586,1038058154,1056575548,1075000094,1093317187,1111523146,1129623466,1147609924,1165486291,1183209471,1200669762,1217726217,1234281163,1250287939,1265780243,1280842119,1295600768,1310152392,1324517250,1338676779,1352642283,1366417756,1380004385
Indonesia,360,Asia - SouthEastern,69543321,70849443,72274629,73820844,75487888,77273427,79172800,81179211,83284051,85477628,87751066,90098396,92518373,95015295,97596728,100267070,103025423,105865576,108779926,111758566,114793179,117880146,121017316,124199693,127422198,130680730,133966940,137278057,140621731,144009844,147447834,150938222,154468235,158009248,161523353,164982452,168374287,171702756,174975953,178209147,181413398,184591897,187739786,190851184,193917458,196934257,199901231,202826444,205724597,208615171,211513822,214427419,217357790,220309473,223285666,226289468,229318262,232374239,235469755,238620554,241834226,245115988,248451714,251805314,255128076,258383257,261556386,264650969,267670549,270625567,273523621
Iran (Islamic Republic of),364,Asia - Southern,17119262,17516672,17933502,18369052,18822753,19294136,19782818,20288542,20811135,21350565,21906909,22480371,23071309,23680246,24307855,24954865,25624380,26317776,27032576,27764928,28513872,29281583,30075295,30905721,31786481,32729772,33733975,34803041,35960811,37237145,38650244,40199911,41869231,43636838,45472792,47347197,49260263,51193782,53077312,54822005,56366212,57679025,58780376,59723761,60590608,61442658,62294919,63136309,63971836,64800875,65623397,66449111,67284801,68122947,68951279,69762345,70554756,71336476,72120608,72924833,73762519,74634959,75539881,76481963,77465769,78492208,79563991,80673888,81800204,82913893,83992953
Iraq,368,Asia - Western,5719183,5901510,6065011,6216129,6360437,6502661,6646635,6795398,6951159,7115505,7289753,7475349,7674217,7888910,8122199,8375795,8651162,8947397,9260687,9585585,9917978,10255853,10599661,10950888,11312062,11684579,12068675,12462059,12860678,13259107,13653348,14044115,14432466,14815653,15190396,15555807,15909764,16257072,16612319,16994942,17419113,17889457,18402740,18955087,19539348,20149342,20783073,21439579,22114330,22802061,23497589,24208178,24931922,25644503,26313838,26922279,27448124,27911242,28385739,28973157,29741977,30725305,31890012,33157061,34411949,35572269,36610632,37552789,38433604,39309789,40222503
Ireland,372,Europe - Northern,2912682,2912605,2909049,2901312,2889284,2873410,2854784,2835058,2816353,2801088,2791390,2788526,2792380,2801184,2812226,2823644,2834679,2846351,2860729,2880757,2908430,2944092,2986566,3034327,3085159,3137181,3189867,3242767,3294158,3342005,3384760,3422026,3453785,3479464,3498540,3510978,3516423,3515827,3512179,3509508,3510881,3517704,3529847,3546929,3567918,3592180,3619633,3651096,3687821,3731472,3783095,3842253,3907995,3980077,4058131,4141218,4230619,4324649,4415871,4494572,4554330,4591115,4608199,4615426,4626852,4652420,4695790,4753281,4818694,4882498,4937796
Isle of Man,833,Europe - Northern,55253,55224,54848,54212,53374,52411,51403,50433,49569,48877,48444,48286,48421,48800,49396,50145,51051,52117,53252,54378,55431,56352,57166,57919,58673,59482,60374,61335,62260,63026,63546,63778,63765,63697,63812,64277,65200,66476,67927,69263,70292,70928,71262,71431,71662,72133,72884,73851,74936,75996,76942,77707,78318,78878,79515,80293,81283,82406,83515,84379,84856,84889,84534,83985,83488,83232,83296,83610,84073,84589,85032
Israel,376,Asia - Western,1257968,1345335,1435825,1525358,1611168,1691873,1767489,1839371,1910043,1982760,2060476,2144648,2234199,2325149,2411782,2490322,2558716,2619102,2676972,2740066,2813746,2900016,2996475,3098785,3200533,3296931,3387048,3472118,3552297,3628307,3700916,3770694,3838109,3903954,3969182,4035062,4100543,4167130,4241786,4333578,4448348,4589305,4752826,4929413,5105571,5271368,5424241,5566551,5699279,5824944,5945949,6060679,6169311,6278374,6396511,6529470,6680641,6847148,7020832,7190037,7346446,7487095,7614946,7734834,7854216,7978496,8108984,8243849,8381507,8519373,8655541
Italy,380,Europe - Southern,46598599,47009982,47390571,47737391,48051041,48335577,48598903,48852439,49110365,49388394,49699947,50052174,50442350,50856405,51273234,51677247,52062749,52433478,52794534,53154575,53518966,53888880,54258737,54619240,54957795,55265280,55537953,55777881,55988983,56177842,56349352,56505476,56644860,56765250,56863131,56936776,56983931,57007737,57018193,57028707,57048237,57088125,57145308,57197610,57213538,57174412,57065231,56903633,56742755,56655629,56692178,56875148,57182521,57564589,57948421,58281209,58542619,58747862,58922116,59105622,59325232,59589070,59879469,60166828,60409622,60578489,60663068,60673694,60627291,60550092,60461828
Jamaica,388,America - Caribbean,1402903,1437066,1468233,1495935,1520093,1540957,1559145,1575685,1591821,1609016,1628524,1651067,1676500,1703660,1730739,1756508,1780522,1803324,1825873,1849658,1875637,1904281,1935089,1966978,1998313,2028019,2055371,2080824,2105903,2132784,2162839,2196921,2234062,2271735,2306367,2335510,2358165,2375400,2389415,2403464,2419901,2439329,2461047,2484583,2509042,2533705,2558631,2583914,2608874,2632677,2654698,2674706,2692843,2709438,2725017,2740000,2754414,2768229,2781869,2795839,2810464,2825932,2842128,2858710,2875137,2891024,2906242,2920848,2934853,2948277,2961161
Japan,392,Asia - Eastern,82802084,84316265,85659438,86869979,87980574,89018255,90004180,90953812,91877637,92782242,93673612,94560714,95458517,96389422,97379402,98447007,99596075,100822283,102124002,103496032,104929260,106427102,107976030,109528514,111022692,112413362,113679190,114827826,115879222,116867356,117816942,118732838,119605254,120427643,121189269,121883483,122509119,123072720,123584522,124058517,124505243,124929764,125331300,125707407,126053127,126365486,126644099,126892745,127117436,127326063,127524168,127713824,127893075,128058368,128204183,128326115,128422740,128494050,128538644,128555196,128542349,128498966,128423571,128314189,128168630,127985139,127763267,127502728,127202190,126860299,126476458
Jordan,400,Asia - Western,481319,536398,576275,609980,644124,682975,728205,779111,832979,885586,933102,973983,1010647,1050212,1102404,1173603,1267063,1378995,1500168,1617427,1721315,1809193,1883923,1948443,2007735,2065916,2123180,2179361,2237936,2303116,2377997,2464870,2563525,2671413,2784457,2900055,3015294,3131800,3256552,3399333,3565888,3760493,3977667,4201559,4410357,4588842,4732848,4848536,4943975,5031754,5122495,5217328,5317514,5434036,5580241,5765639,5991547,6255290,6556473,6893258,7261541,7662858,8089963,8518992,8918822,9266573,9554286,9785840,9965322,10101697,10203140
Kazakhstan,398,Asia - Central,6703000,6811564,7006641,7269054,7582298,7932517,8308594,8702076,9106900,9518906,9934564,10349422,10756931,11147860,11511856,11841926,12132560,12385706,12611432,12824614,13036140,13250211,13463985,13673014,13869975,14050227,14212145,14359629,14499957,14643133,14796175,14958897,15128090,15303316,15483411,15665594,15852524,16039253,16205998,16326848,16383881,16373308,16302809,16181161,16022224,15839357,15631926,15406005,15190168,15020573,14922724,14910207,14976184,15100045,15250016,15402803,15551263,15702112,15862126,16043015,16252273,16490669,16751523,17026118,17302619,17572010,17830902,18080023,18319616,18551428,18776707
Kenya,404,Africa - Eastern,6076757,6242107,6415955,6598172,6788705,6987658,7195224,7411766,7637725,7873623,8120082,8377693,8647002,8928510,9222692,9530163,9851453,10187487,10539909,10910677,11301394,11713046,12146070,12600799,13077341,13575898,14096258,14638887,15205381,15797771,16417203,17063870,17736326,18431760,19146403,19877078,20622560,21382111,22153685,22935088,23724574,24521714,25326080,26136217,26950508,27768297,28589456,29415660,30250488,31098763,31964557,32848569,33751746,34678781,35635267,36624897,37649039,38705934,39791984,40901798,42030684,43178270,44343469,45519986,46700063,47878339,49051531,50221146,51392570,52573967,53771300
Kiribati,296,Oceania - Micronesia,33050,33615,34270,34976,35750,36566,37428,38317,39241,40206,41196,42234,43283,44342,45392,46429,47429,48403,49354,50267,51142,51979,52775,53558,54334,55114,55922,56759,57613,58469,59296,60101,60887,61736,62745,63989,65504,67244,69087,70849,72394,73692,74767,75711,76668,77716,78904,80188,81558,82969,84405,85844,87308,88840,90498,92319,94341,96531,98760,100928,102930,104735,106359,107887,109387,110927,112529,114153,115842,117608,119446
Kuwait,414,Asia - Western,153103,158010,162804,167991,174148,181893,191888,204890,221615,242796,269026,300581,337346,378756,423900,472032,523169,577164,632911,688972,744444,798639,851918,905639,961773,1021725,1085866,1153573,1224063,1296077,1368680,1439334,1507636,1576975,1652150,1735278,1832302,1938916,2034850,2092786,2095350,2031297,1912425,1772607,1659304,1605907,1626858,1710257,1831121,1951642,2045123,2103273,2136991,2161626,2200498,2270196,2373661,2504026,2656010,2821041,2991884,3168054,3348852,3526382,3690939,3835588,3956862,4056102,4137314,4207077,4270563
Kyrgyzstan,417,Asia - Central,1740005,1765557,1795141,1828202,1864497,1904069,1947222,1994559,2046913,2105187,2170091,2241761,2319450,2401462,2485425,2569448,2653050,2736074,2817324,2895538,2969857,3039759,3105533,3168293,3229683,3291074,3352615,3414330,3477224,3542511,3610974,3682660,3757168,3834140,3913018,3993077,4075144,4158584,4239283,4311856,4372885,4419627,4454192,4483844,4518808,4566096,4629403,4705651,4786772,4861121,4920712,4962839,4991478,5013538,5038995,5075340,5124379,5184384,5254969,5334708,5422298,5517927,5621583,5731312,5844521,5959126,6074327,6189727,6304025,6415851,6524191
Lao People's Democratic Republic,418,Asia - SouthEastern,1682915,1723216,1764044,1805537,1847794,1890850,1934816,1979730,2025666,2072709,2120892,2170340,2221123,2273352,2327137,2382586,2439197,2496927,2556845,2620448,2688429,2762264,2840842,2919288,2990963,3051583,3098962,3135839,3168838,3207331,3258149,3323353,3401193,3489910,3586315,3687889,3794204,3905530,4020817,4138845,4258471,4379234,4500346,4619946,4735837,4846477,4951189,5050308,5144601,5235339,5323701,5409584,5493247,5576640,5662199,5751675,5846075,5944950,6046630,6148621,6249168,6347564,6444527,6541302,6639763,6741160,6845848,6953031,7061498,7169456,7275556
Latvia,428,Europe - Northern,1926568,1933995,1945956,1961660,1980396,2001570,2024678,2049314,2075182,2102010,2129584,2157660,2185873,2213805,2240947,2266938,2291471,2314506,2336318,2357389,2378022,2398380,2418280,2437180,2454397,2469439,2482197,2492984,2502518,2511735,2521381,2531016,2540444,2550932,2564118,2580763,2602152,2626906,2649835,2663943,2664447,2649161,2620254,2582658,2543632,2508476,2478832,2453310,2430546,2408088,2384150,2358689,2332528,2305845,2278922,2251996,2225063,2198089,2171248,2144784,2118855,2093606,2069018,2044950,2021220,1997675,1974265,1951097,1928461,1906740,1886202
Lebanon,422,Asia - Western,1334617,1358226,1392730,1434848,1481968,1532120,1584039,1637130,1691382,1747168,1804935,1864613,1925295,1984999,2041231,2092374,2136617,2174732,2210769,2250454,2297436,2354046,2417837,2481943,2536772,2575746,2596409,2601734,2597202,2590911,2588928,2594299,2606148,2622072,2638056,2651992,2660873,2667957,2684682,2726438,2803032,2921700,3076133,3246129,3403359,3528379,3610663,3658425,3693514,3747762,3842774,3990999,4182205,4388378,4569377,4698761,4759760,4767347,4764745,4813026,4953064,5202022,5537620,5913016,6261046,6532681,6714281,6819373,6859408,6855709,6825442
Lesotho,426,Africa - Southern,704686,716810,729000,741338,753899,766763,779974,793594,807664,822214,837264,852892,869132,886061,903757,922307,941798,962279,983683,1005911,1028930,1052619,1077102,1102885,1130634,1160795,1193517,1228527,1265211,1302670,1340258,1377808,1415362,1452727,1489685,1526132,1561687,1596395,1630993,1666564,1703757,1742534,1782284,1822237,1861323,1898598,1934294,1968054,1997524,2019732,2032805,2035738,2029832,2018355,2005953,1996115,1989933,1986926,1987130,1990135,1995575,2003793,2014988,2028528,2043448,2059011,2075041,2091532,2108327,2125267,2142252
Liberia,430,Africa - Western,930022,943659,958700,975056,992646,1011367,1031135,1051834,1073380,1095670,1118655,1142304,1166651,1191796,1217905,1245104,1273458,1303032,1333980,1366500,1400730,1436740,1474567,1514364,1556288,1600454,1645833,1692155,1740919,1794251,1852991,1918832,1989477,2057232,2111667,2145756,2158434,2153312,2134105,2106429,2075917,2040141,2001612,1976701,1986491,2044657,2160480,2326210,2517472,2699708,2848447,2953928,3024727,3077055,3135654,3218114,3329211,3461911,3607863,3754129,3891357,4017446,4135662,4248337,4359508,4472229,4586788,4702224,4818976,4937374,5057677
Libya,434,Africa - Northern,1124519,1142975,1163890,1187740,1214823,1245355,1279403,1316913,1357732,1401631,1448416,1498076,1550815,1607168,1667822,1733307,1803689,1878869,1958909,2043820,2133527,2228142,2327487,2430754,2536895,2645136,2754698,2865639,2979102,3096724,3219462,3347779,3480443,3614682,3746712,3873781,3994601,4109717,4220451,4328935,4436663,4544245,4650896,4755134,4854871,4948796,5036173,5118008,5196774,5275921,5357893,5443249,5531097,5620545,5710163,5798615,5886874,5974786,6058740,6133987,6197667,6247438,6285751,6320350,6362039,6418315,6492160,6580723,6678565,6777453,6871287
Liechtenstein,438,Europe - Western,13752,13945,14135,14344,14568,14824,15119,15429,15767,16120,16501,16894,17300,17724,18170,18642,19160,19688,20237,20766,21268,21729,22161,22560,22985,23436,23933,24451,24968,25463,25881,26229,26533,26790,27028,27286,27552,27835,28135,28449,28790,29166,29552,29987,30415,30884,31354,31830,32306,32765,33184,33543,33885,34172,34444,34718,34975,35217,35469,35723,35996,36299,36615,36940,37219,37465,37655,37805,37918,38020,38137
Lithuania,440,Europe - Northern,2567407,2569617,2578051,2591374,2608525,2628752,2651634,2677006,2704988,2735866,2769879,2806924,2846393,2887072,2927385,2966165,3002792,3037458,3070698,3103509,3136585,3170082,3203634,3236739,3268652,3298883,3327263,3354067,3379794,3405173,3430760,3456141,3481128,3506550,3533489,3562399,3594064,3627326,3658496,3682557,3696035,3697451,3688103,3670653,3649142,3626609,3603756,3579911,3555140,3529189,3501842,3473623,3444777,3414367,3381134,3344259,3303329,3258984,3212867,3167270,3123825,3083402,3045561,3008938,2971498,2931872,2889555,2845419,2801270,2759631,2722291
Luxembourg,442,Europe - Western,296005,297593,299500,301507,303449,305262,306938,308562,310258,312219,314585,317438,320699,324129,327360,330160,332423,334234,335829,337568,339672,342232,345104,348178,351190,353984,356566,358963,361080,362797,364048,364778,365099,365301,365797,366882,368662,371076,374118,377712,381780,386356,391397,396812,402435,408145,413999,419979,425828,431263,436106,440197,443727,447317,451822,457848,465611,474917,485403,496536,507890,519312,530855,542554,554512,566741,579266,591914,604244,615730,625976
Madagascar,450,Africa - Eastern,4083548,4168388,4256761,4348724,4444287,4543540,4646579,4753531,4864520,4979746,5099368,5223561,5352497,5486319,5625164,5769215,5918592,6073529,6234468,6401920,6576305,6757853,6946619,7142634,7345773,7556032,7773452,7998157,8230214,8469677,8716549,8971339,9234137,9504283,9780869,10063493,10352117,10647753,10952396,11268653,11598647,11942809,12301338,12675469,13066544,13475403,13902697,14347860,14808791,15282524,15766806,16260933,16765122,17279139,17802992,18336722,18880265,19433520,19996476,20569115,21151640,21743970,22346641,22961259,23589897,24234080,24894370,25570511,26262313,26969306,27691019
Malawi,454,Africa - Eastern,2953871,3011789,3072386,3135689,3201722,3270545,3342254,3416929,3494687,3575665,3659980,3747758,3839047,3933914,4032364,4134464,4240430,4350456,4464427,4582197,4703783,4829092,4958556,5093368,5235074,5384798,5545653,5717954,5896864,6075485,6250434,6412380,6565985,6737924,6964613,7268271,7666390,8141140,8636686,9075568,9404499,9600361,9685974,9710335,9745695,9844418,10022783,10264906,10552345,10854325,11148751,11432001,11713663,12000183,12301837,12625950,12973693,13341808,13727899,14128161,14539609,14962118,15396010,15839287,16289550,16745305,17205253,17670193,18143215,18628749,19129955
Malaysia,458,Asia - SouthEastern,6109902,6271228,6449609,6639418,6836639,7038910,7245680,7458015,7678381,7910188,8156342,8417821,8692337,8973791,9253827,9526558,9790083,10046321,10297983,10549395,10804131,11062434,11324277,11592638,11871102,12162189,12468688,12790313,13122833,13460035,13798094,14134060,14471215,14819430,15192300,15598924,16043736,16522004,17022470,17528961,18029824,18519941,19002660,19484901,19977508,20487604,21017619,21562790,22114647,22661293,23194252,23709115,24208391,24698821,25190647,25690615,26201954,26720367,27236003,27735038,28208028,28650962,29068189,29468923,29866606,30270965,30684652,31104655,31528033,31949789,32365998
Maldives,462,Asia - Southern,73716,74220,75190,76485,78015,79704,81511,83418,85431,87587,89873,92328,94902,97540,100177,102710,105129,107481,109893,112582,115688,119303,123347,127700,132102,136418,140563,144625,148774,153276,158271,163821,169849,176255,182848,189540,196262,203024,209787,216502,223159,229743,236271,242596,248582,254144,259178,263836,268445,273522,279396,286309,294185,302681,311265,319604,327489,335172,343448,353391,365730,380493,397231,415592,435018,454914,475505,496398,515704,530957,540542
Mali,466,Africa - Western,4708425,4759043,4811202,4864752,4919548,4975400,5032123,5089512,5147342,5205447,5263727,5322269,5381367,5441618,5503750,5568495,5635864,5706192,5780836,5861417,5949042,6044524,6147464,6256191,6368346,6482282,6596721,6712267,6831090,6956409,7090124,7234725,7388670,7545163,7694857,7831888,7952863,8062216,8171525,8296919,8449915,8635528,8850334,9087173,9334893,9585660,9837575,10094363,10360564,10642937,10946448,11271603,11616890,11982692,12369078,12775509,13203378,13651455,14113578,14581427,15049352,15514593,15979492,16449854,16934213,17438772,17965448,18512429,19077755,19658023,20250834
Malta,470,Europe - Southern,311998,312215,312746,313266,313562,313523,313195,312702,312303,312316,312973,314414,316520,318888,320927,322238,322696,322457,321762,321031,320548,320364,320437,320801,321436,322358,323579,325126,326984,329117,331494,334115,336964,339984,343096,346254,349431,352617,355796,358935,362017,364991,367890,370774,373754,376893,380259,383756,387282,390626,393649,396324,398720,400858,402820,404659,406330,407854,409493,411559,414257,417720,421809,426144,430190,433559,436099,437935,439255,440377,441539
Marshall Islands,584,Oceania - Micronesia,13005,13226,13441,13628,13792,13897,13996,14085,14208,14394,14674,15056,15547,16111,16710,17282,17834,18383,18966,19617,20394,21305,22335,23440,24530,25579,26548,27479,28400,29417,30574,31883,33330,34881,36564,38331,40212,42168,44092,45827,47265,48403,49242,49828,50214,50454,50523,50453,50356,50418,50754,51411,52368,53465,54476,55257,55765,56046,56166,56255,56361,56524,56712,56933,57183,57444,57723,58053,58412,58791,59194
Martinique,474,America - Caribbean,222003,224412,228268,233260,239150,245682,252652,259879,267209,274493,281626,288478,294957,300951,306361,311122,315172,318501,321174,323317,325014,326328,327301,327883,328073,327837,327176,326200,325296,324929,325448,326987,329451,332601,336166,339881,343744,347754,351708,355340,358457,360892,362756,364374,366254,368728,371913,375640,379639,383527,387016,389984,392500,394534,396106,397191,397850,398048,397664,396561,394666,391886,388366,384581,381142,378483,376789,375946,375672,375557,375265
Mauritania,478,Africa - Western,651434,666806,683139,700494,718871,738295,758751,780219,802673,826069,850377,875586,901690,928742,956794,985907,1016093,1047345,1079580,1112749,1146776,1181659,1217443,1254156,1291857,1330594,1370364,1411139,1453028,1496174,1540644,1586496,1633655,1681859,1730737,1780033,1829678,1879756,1930427,1981902,2034347,2087914,2142645,2198538,2255520,2313630,2372900,2433567,2496217,2561584,2630217,2702405,2778097,2857150,2939246,3024198,3111908,3202512,3296237,3393408,3494200,3598646,3706555,3817497,3930894,4046304,4163532,4282582,4403312,4525698,4649660
Mauritius,480,Africa - Eastern,493258,506428,521191,537050,553622,570650,587952,605487,623274,641423,660025,679050,698310,717407,735860,753283,769560,784774,799143,812941,826451,839594,852394,865170,878356,892219,906918,922329,937818,952581,966039,978071,988889,998620,1007502,1015764,1023278,1030176,1037253,1045585,1055869,1068433,1082948,1098604,1114146,1128676,1141952,1154141,1165292,1175571,1185147,1193911,1201805,1208992,1215668,1222010,1228089,1233890,1239262,1243996,1247953,1251074,1253489,1255458,1257351,1259457,1261870,1264497,1267184,1269670,1271767
Mayotte,175,Africa - Eastern,15138,15732,16444,17244,18101,18994,19897,20839,21833,22889,24016,25240,26537,27887,29220,30520,31783,33009,34251,35553,36964,38518,40199,41961,43733,45480,47188,48888,50697,52747,55136,57913,61044,64494,68205,72108,76187,80445,84941,89709,94779,100164,105826,111633,117470,123186,128753,134206,139575,144930,150331,155756,161204,166715,172345,178103,184026,190098,196269,202494,208716,214937,221147,227376,233658,240011,246460,252962,259526,266153,272813
Mexico,484,America - Central,27944671,28749849,29590077,30468850,31388572,32350593,33355184,34401536,35487956,36612111,37771861,38966049,40195318,41462373,42771077,44123863,45519746,46956208,48431971,49945278,51493565,53076366,54689944,56324310,57966812,59607947,61242189,62869908,64494872,66123908,67761367,69407623,71058650,72709306,74352631,75983486,77599105,79200081,80788725,82368930,83943135,85512621,87075136,88625440,90156396,91663290,93147045,94611008,96056313,97484823,98899845,100298152,101684764,103081020,104514934,106005199,107560155,109170503,110815272,112463886,114092961,115695468,117274156,118827158,120355137,121858251,123333379,124777326,126190782,127575529,128932753
Micronesia (Fed. States of),583,Oceania - Micronesia,32004,33399,34586,35675,36757,37880,39066,40351,41695,43096,44510,45939,47372,48856,50476,52224,54192,56308,58386,60146,61415,62089,62275,62268,62456,63122,64360,66079,68196,70515,72936,75422,78015,80630,83192,85641,87904,89985,91984,94062,96304,98779,101386,103901,106030,107535,108311,108473,108206,107769,107405,107170,107027,106902,106624,106135,105374,104442,103549,102971,102916,103448,104506,105922,107444,108886,110215,111461,112640,113811,115021
Monaco,492,Europe - Western,20000,19384,19082,19049,19261,19653,20186,20788,21405,21978,22461,22813,23043,23165,23236,23289,23302,23292,23295,23348,23487,23721,24049,24445,24829,25203,25523,25811,26090,26391,26752,27162,27633,28091,28511,28836,29050,29156,29232,29309,29433,29629,29859,30145,30436,30731,31001,31268,31554,31836,32148,32474,32804,33144,33499,33842,34189,34524,34860,35223,35609,36025,36459,36899,37320,37723,38070,38392,38682,38967,39244
Mongolia,496,Asia - Eastern,780199,793537,807922,823068,838787,855099,872163,890281,909886,931487,955514,982181,1011327,1042387,1074518,1107121,1139962,1173186,1207104,1242213,1278819,1317042,1356673,1397305,1438421,1479646,1520868,1562207,1603910,1646290,1689622,1733475,1777727,1823214,1871089,1921889,1976313,2033351,2089709,2141005,2184139,2217918,2243495,2263196,2280475,2298017,2316571,2335744,2355667,2376228,2397417,2419594,2443261,2468765,2496394,2526429,2558854,2593819,2631899,2673794,2719902,2770357,2824698,2881783,2940111,2998433,3056358,3113788,3170214,3225166,3278292
Montenegro,499,Europe - Southern,394739,400872,410508,421731,433140,443796,453322,461813,469782,478070,487416,498129,509707,520712,529176,533821,533915,530234,524845,520645,519702,522782,529214,537766,546565,554259,560423,565512,570060,574953,580757,587689,595351,602965,609438,614011,616356,616794,616054,615205,615004,615736,617181,618863,620076,620419,619705,618216,616340,614652,613558,613170,613371,614081,615137,616388,617863,619554,621312,622933,624279,625271,625931,626342,626650,626957,627271,627563,627803,627988,628062
Montserrat,500,America - Caribbean,13524,14127,14476,14601,14509,14231,13817,13320,12799,12323,11957,11729,11653,11673,11711,11721,11696,11647,11604,11553,11538,11519,11530,11539,11550,11576,11612,11654,11675,11665,11607,11482,11299,11106,10925,10787,10704,10666,10632,10623,10616,10627,10659,10598,10362,9848,9014,7927,6745,5693,4925,4528,4431,4533,4703,4842,4890,4916,4906,4891,4895,4913,4930,4932,4952,4966,4978,4989,4993,4991,4999
